date,M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH
1/1/1972,100,100,100,100,100,100,100
2/1/1972,100.4,100.53,99.78,100.74,100.12,101.2,88.89
3/1/1972,101.11,101.35,100.05,101.38,100.24,102.53,98.97
4/1/1972,101.16,101.45,99.84,101.21,100.95,102.08,103.1
5/1/1972,101.88,102.3,100,101.25,102.32,103.53,86.3
6/1/1972,102.1,102.53,100.16,100.87,102.94,103.65,90.7
7/1/1972,103.7,104.46,100.32,100.59,105,106.87,97.42
8/1/1972,104.81,105.61,101.21,101.18,105.13,109.42,101.03
9/1/1972,105.8,106.83,101.21,102.86,105.31,111.26,105.94
10/1/1972,106.49,107.68,101.16,102.69,106.86,112.13,107.24
11/1/1972,107.78,109.19,101.58,102.02,107.05,116.16,126.87
12/1/1972,110.33,112.33,101.64,102.62,107.05,125.35,115.5
1/1/1973,114.42,116.75,104.3,106.83,108.9,132.48,128.94
2/1/1973,117.58,120.66,104.39,111.75,114.27,134.98,110.85
3/1/1973,122.04,126.1,104.88,120.56,122.32,136.02,108.79
4/1/1973,124.13,128.42,106.04,123.89,126.45,135.96,114.73
5/1/1973,130.09,134.89,109.94,128,130.31,146.78,112.66
6/1/1973,134.35,139.62,112.39,135.25,124.86,161.21,95.09
7/1/1973,141.44,148.14,114.06,142.97,125.66,178,127.39
8/1/1973,149.73,158.29,115.52,144.01,125.41,208.87,120.67
9/1/1973,147.38,154.17,119.49,145.03,128.75,190.54,126.87
10/1/1973,146.52,153.04,119.68,150.72,129.4,182.27,127.65
11/1/1973,150.16,156.44,124.12,159.64,127.37,187.56,154.01
12/1/1973,153.31,158.57,131.07,161.89,127.3,192.93,140.57
1/1/1974,163.36,164.36,156.35,163.21,130.51,205.89,131.78
2/1/1974,171.72,170.25,173.12,175.89,131.55,213.03,139.53
3/1/1974,170.72,169.04,172.91,188.66,136.36,194.03,121.45
4/1/1974,173.58,172.59,173.23,205.88,146.49,180.47,147.8
5/1/1974,171.59,169.67,174.64,213.58,144.58,171.19,129.97
6/1/1974,170.19,167.6,175.74,202.3,141.43,176.14,104.65
7/1/1974,179.07,174.62,191.52,187.52,148.62,195.52,134.63
8/1/1974,180.91,175.41,197.46,187.87,145.54,201.7,125.58
9/1/1974,177.01,170.63,197.27,174.45,143.46,199.28,136.95
10/1/1974,181.03,173.56,205.73,170.25,145.43,209.36,124.55
11/1/1974,180.41,173.61,202.32,169.46,146.58,208.9,118.09
12/1/1974,175.93,167.91,203.08,159.51,144.48,201.39,133.33
1/1/1975,175.66,164.92,213.58,159.88,151.17,186.01,112.92
2/1/1975,175.38,160.74,228.03,161.98,153.96,170.8,141.09
3/1/1975,173.55,157.91,230.22,165.37,154.08,162.07,125.84
4/1/1975,174,158.24,231.14,162.91,157.16,162.16,116.28
5/1/1975,176.38,159.72,237.12,161.39,161.07,163.74,113.18
6/1/1975,178.19,158.54,251.62,159.7,158.66,163.8,110.08
7/1/1975,182.65,164.85,247.82,161.91,160.06,176.16,139.53
8/1/1975,186.71,168.98,251.38,164.74,161.32,183.92,130.49
9/1/1975,191.26,169.44,273.12,162.06,160.45,187.35,141.6
10/1/1975,188.31,165.57,274.63,157.25,158.99,181.77,147.03
11/1/1975,185.01,161.04,277.44,155.72,158.21,172.26,131.52
12/1/1975,187.26,161.6,287.63,155.17,160.89,171.39,155.56
1/1/1976,184.86,158.07,291.09,156.97,153.42,167.65,160.21
2/1/1976,183.73,159.54,278.02,156.07,155.68,170.13,156.59
3/1/1976,184.23,160,278.65,163.89,154.56,167.21,160.98
4/1/1976,184.88,160.23,281.11,169.34,154.08,164.85,162.27
5/1/1976,184.68,159.88,281.65,169.56,151.29,166.63,162.27
6/1/1976,187.24,162.38,284.26,172,153.29,169.56,170.8
7/1/1976,188.16,162.53,288.62,174.09,157.59,164.2,175.71
8/1/1976,185.05,158.86,288.4,169.39,162.06,153.04,188.37
9/1/1976,184.68,158.31,288.89,170.3,162.06,151.04,193.54
