"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.3","","","","1"
"2000-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.3","","","","1"
"2000-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.3","","","","1"
"2000-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2000-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.7","","","","1"
"2000-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2000-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.0","","","","1"
"2000-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.2","","","","1"
"2000-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.3","","","","1"
"2000-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.4","","","","1"
"2000-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.5","","","","1"
"2000-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.4","","","","1"
"2001-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.5","","","","1"
"2001-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.5","","","","1"
"2001-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.6","","","","1"
"2001-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.4","","","","1"
"2001-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2001-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.7","","","","1"
"2001-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.3","","","","1"
"2001-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.5","","","","1"
"2001-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.6","","","","1"
"2001-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.7","","","","1"
"2001-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2001-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.6","","","","1"
"2002-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.7","","","","1"
"2002-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.5","","","","1"
"2002-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.4","","","","1"
"2002-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.0","","","","1"
"2002-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.9","","","","1"
"2002-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2002-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.8","","","","1"
"2002-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.7","","","","1"
"2002-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.9","","","","1"
"2002-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.9","","","","1"
"2002-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2002-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2003-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.1","","","","1"
"2003-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.9","","","","1"
"2003-03","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.8","","","","1"
"2003-04","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.9","","","","1"
"2003-05","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.0","","","","1"
"2003-06","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2003-07","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.8","","","","1"
"2003-08","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","8.1","","","","1"
"2003-09","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.3","","","","1"
"2003-10","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.9","","","","1"
"2003-11","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.1","","","","1"
"2003-12","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","6.9","","","","1"
"2004-01","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v2091177","1.8.1.1","7.9","","","","1"
